ortho,phon,syll
matches,matS,matS
opérées,opeRe,o-pe-Re
confrérie,k§fReRi,k§-fRe-Ri
seaborgium,sibORgjOm,si-bOR-gjOm
rassurai,RasyRE,Ra-sy-RE
éclatai,eklatE,e-kla-tE
multiplexes,myltiplEks,myl-ti-plEks
découpeuse,dekup2z,de-ku-p2z
mi-sombre,mis§bR,mi-s§bR
ardents,aRd@,aR-d@
grouillant,gRuj@,gRu-j@
réveilleront,RevEj°R§,Re-vE-j°-R§
gaffent,gaf,gaf
compagne,k§paN,k§-paN
vodkas,vOdka,vOd-ka
guerroyait,gERwajE,gE-Rwa-jE
indiquerons,5dik°R§,5-di-k°-R§
touche-touche,tuStuS,tuS-tuS
claviers,klavje,kla-vje
compétents,k§pet@,k§-pe-t@
organisa,ORganiza,OR-ga-ni-za
punique,pynik,py-nik
fiscal,fiskal,fis-kal
démarrages,demaRaZ,de-ma-RaZ
au-dessus,od°sy,o-d°-sy
embarqua,@baRka,@-baR-ka
renouais,R°nwE,R°-nwE
copte,kOpt,kOpt
enfilant,@fil@,@-fi-l@
process,pROsEs,pRO-sEs
impondérable,5p§deRabl,5-p§-de-Rabl
coloquintes,kolok5t,ko-lo-k5t
probables,pRobabl°,pRo-ba-bl°
pleurard,pl2RaR,pl2-RaR
cristallisé,kRistalize,kRis-ta-li-ze
préposée,pRepoze,pRe-po-ze
rongez,R§Ze,R§-Ze
amies,ami,a-mi
annihilez,aniile,a-ni-i-le
imagination,imaZinasj§,i-ma-Zi-na-sj§
viager,vjaZe,vja-Ze
coopérerai,koopeR°RE,ko-o-pe-R°-RE
guérissant,geRis@,ge-Ri-s@
bouffées,bufe,bu-fe
platonique,platonik,pla-to-nik
départagera,depaRtaZ°Ra,de-paR-ta-Z°-Ra
ligotées,ligote,li-go-te
entreprise,@tR°pRiz,@-tR°-pRiz
architectonique,aRSitEktonik,aR-Si-tEk-to-nik
pluvier,plyvje,ply-vje
dépita,depita,de-pi-ta
haranguerais,aR@g°RE,a-R@-g°-RE
élyséenne,elizeEn,e-li-ze-En
ressemble,R°s@bl,R°-s@bl
carres,kaR,kaR
diagonalement,djagonal°m@,dja-go-na-l°-m@
roder,Rode,Ro-de
cravaté,kRavate,kRa-va-te
exploité,Eksplwate,Ek-splwa-te
exorcisés,EgzORsize,Eg-zOR-si-ze
couverte,kuvERt,ku-vERt
doctement,dOkt°m@,dOk-t°-m@
surtouts,syRtu,syR-tu
exclu,Ekskly,Ek-skly
mordorées,mORdoRe,mOR-do-Re
gréer,gRee,gRe-e
orchestrations,ORkEstRasj§,OR-kEs-tRa-sj§
vieillisse,vjEjis,vjE-jis
instructif,5stRyktif,5s-tRyk-tif
nef,nEf,nEf
emmenés,@m°ne,@-m°-ne
forcent,fORs,fORs
transformèrent,tR@sfORmER,tR@s-fOR-mER
chambrais,S@bRE,S@-bRE
adorerais,adOR°RE,a-dO-R°-RE
ramés,Rame,Ra-me
basse-cour,baskuR,bas-kuR
relégueraient,R°leg°RE,R°-le-g°-RE
coûtez,kute,ku-te
dominicaines,dominikEn,do-mi-ni-kEn
perceuses,pERs2z,pER-s2z
africaines,afRikEn,a-fRi-kEn
émoustillant,emustij@,e-mus-ti-j@
spécialement,spesjal°m@,spe-sja-l°-m@
inévitabilité,inevitabilite,i-ne-vi-ta-bi-li-te
broutard,bRutaR,bRu-taR
réécoutais,ReekutE,Re-e-ku-tE
autoérotique,otoeROtik,o-to-e-RO-tik
grecque,gREk,gREk
redéfinissons,R°definis§,R°-de-fi-ni-s§
abyssinienne,abisinjEn,a-bi-si-njEn
décampons,dek@p§,de-k@-p§
braillant,bRaj@,bRa-j@
inenvisageable,in@vizaZabl,i-n@-vi-za-Zabl
est,Est,Est
poliras,poliRa,po-li-Ra
derrière,dERjER,dE-RjER
magnent,maN,maN
mitonnait,mitonE,mi-to-nE
habitez,abite,a-bi-te
pendulettes,p@dylEt,p@-dy-lEt
expurgée,EkspyRZe,Ek-spyR-Ze
veinardes,vEnaRd,vE-naRd
dénotait,denotE,de-no-tE
ridiculisez,Ridikylize,Ri-di-ky-li-ze
vitaminé,vitamine,vi-ta-mi-ne
étayaient,etejE,e-te-jE
clivage,klivaZ,kli-vaZ
pourchassez,puRSase,puR-Sa-se
avant-monts,av@m§,a-v@-m§
fourré,fuRe,fu-Re
naîtrai,nEtRE,nE-tRE
subversif,sybvERsif,syb-vER-sif
philippin,filip5,fi-li-p5
défaisait,def°zE,de-f°-zE
déchiffraient,deSifRE,de-Si-fRE
bêtasse,bEtas,bE-tas
ex-républiques,EksRepyblik,Ek-sRe-py-blik
petite-bourgeoise,p°titbuRZwaz,p°-tit-buR-Zwaz
meuf,m9f,m9f
gauchissement,goSis°m@,go-Si-s°-m@
génocidaire,ZenOsidER,Ze-nO-si-dER
jabots,Zabo,Za-bo
rebattue,R°baty,R°-ba-ty
maquignonnages,makiNonaZ,ma-ki-No-naZ
croiseront,kRwaz°R§,kRwa-z°-R§
paire,pER,pER
bloque,blOk,blOk
louai,lwE,lwE
trieuse,tRij2z,tRi-j2z
dièse,djEz,djEz
allumeront,alym°R§,a-ly-m°-R§
divertissement,divERtis°m@,di-vER-ti-s°-m@
défaveur,defav9R,de-fa-v9R
hypocauste,ipokost,i-po-kost
pâtirent,patiR,pa-tiR
archi-connu,aRSikony,aR-Si-ko-ny
pissa,pisa,pi-sa
randonnées,R@done,R@-do-ne
effarées,efaRe,e-fa-Re
pelages,p°laZ,p°-laZ
répandus,Rep@dy,Re-p@-dy
démode,demOd,de-mOd
écharpes,eSaRp,e-SaRp
divorce,divORs,di-vORs
discographiques,diskogRafik,dis-ko-gRa-fik
enfourcher,@fuRSe,@-fuR-Se
édentés,ed@te,e-d@-te
portefeuilles,pORt°f9j,pOR-t°-f9j
solide,solid,so-lid
essouffler,esufle,e-su-fle
psychogène,psikoZEn,psi-ko-ZEn
décrépite,dekRepit,de-kRe-pit
belles-de-nuit,bEld2n8i,bEl-d2-n8i
craches,kRaS,kRaS
pommes,pOm,pOm
cantonnements,k@tOn°m@,k@-tO-n°-m@
ciseaux,sizo,si-zo
retravaillait,R°tRavajE,R°-tRa-va-jE
testez,tEste,tEs-te
lancinants,l@sin@,l@-si-n@
stéréotypées,steReotipe,ste-Re-o-ti-pe
désorientation,dezoRj@tasj§,de-zo-Rj@-ta-sj§
prépubère,pRepybER,pRe-py-bER
aventurer,av@tyRe,a-v@-ty-Re
résignés,ReziNe,Re-zi-Ne
parents,paR@,pa-R@
chleuh,Sl2,Sl2
cruzeiros,kRuzEROs,kRu-zE-ROs
introvertie,5tRovERti,5-tRo-vER-ti
couturées,kutyRe,ku-ty-Re
rafistolait,RafistolE,Ra-fis-to-lE
fluctuation,flykt8asj§,flyk-t8a-sj§
too much,tum9tS,tu-m9tS
commanderie,kom@d°Ri,ko-m@-d°-Ri
coursée,kuRse,kuR-se
dévoilé,devwale,de-vwa-le
méprendriez,mepR@dRije,me-pR@-dRi-je
linger,l5Ze,l5-Ze
raccourcie,RakuRsi,Ra-kuR-si
sifflent,sifl,sifl
réveillonnâmes,RevEjonam,Re-vE-jo-nam
rêvassa,REvasa,RE-va-sa
eucharistiques,2kaRistik,2-ka-Ris-tik
recombinant,R2k§bin@,R2-k§-bi-n@
goulache,gulaS,gu-laS
suffirais,syfiRE,sy-fi-RE
sérieuse,seRj2z,se-Rj2z
médiatiques,medjatik,me-dja-tik
missives,misiv,mi-siv
marmonnez,maRmone,maR-mo-ne
instrumentiste,5stRym@tist,5s-tRy-m@-tist
pronostiquait,pRonOstikE,pRo-nOs-ti-kE
abonné,abone,a-bo-ne
résultait,RezyltE,Re-zyl-tE
duchesses,dySEs,dy-SEs
tempêtes,t@pEt,t@-pEt
pélot,pelo,pe-lo
ourlaient,uRlE,uR-lE
couronnement,kuROn°m@,ku-RO-n°-m@
sonnera,sOn°Ra,sO-n°-Ra
changeâmes,S@Zam,S@-Zam
meilleures,mEj9R,mE-j9R
fascinait,fasinE,fa-si-nE
appropriez,apRopRie,a-pRo-pRi-e
procéderont,pRosed°R§,pRo-se-d°-R§
pléiade,plejad,ple-jad
fuiront,f8iR§,f8i-R§
instits,5stit,5s-tit
entrelacement,@tR°las°m@,@-tR°-la-s°-m@
trimballez,tR5bale,tR5-ba-le
tassements,tas°m@,ta-s°-m@
rendormant,R@dORm@,R@-dOR-m@
provoquées,pRovoke,pRo-vo-ke
bédé,bede,be-de
encaisserez,@kEs°Re,@-kE-s°-Re
sermonner,sERmone,sER-mo-ne
plébéienne,plebejEn,ple-be-jEn
menacés,m°nase,m°-na-se
parasitologie,paRazitoloZi,pa-Ra-zi-to-lo-Zi
broyait,bRwajE,bRwa-jE
jouais,ZwE,ZwE
enlace,@las,@-las
conchie,k§Si,k§-Si
saoulerait,sul°RE,su-l°-RE
sprint,spRint,spRint
avachirons,avaSiR§,a-va-Si-R§
détendit,det@di,de-t@-di
dispersées,dispERse,dis-pER-se
platonicien,platonisj5,pla-to-ni-sj5
expliquions,Eksplikj§,Ek-spli-kj§
chancelaient,S@s°lE,S@-s°-lE
ripostais,RipOstE,Ri-pOs-tE
présenterait,pRez@t°RE,pRe-z@-t°-RE
comparerai,k§paR°RE,k§-pa-R°-RE
sud-est,sydEst,sy-dEst
médisant,mediz@,me-di-z@
mandragores,m@dRagOR,m@-dRa-gOR
logeant,loZ@,lo-Z@
laminait,laminE,la-mi-nE
astiquerons,astik°R§,as-ti-k°-R§
clamecer,klam°se,kla-m°-se
torses,tORs,tORs
malachite,malakit,ma-la-kit
hydromel,idRomEl,i-dRo-mEl
matraqués,matRake,ma-tRa-ke
divisèrent,divizER,di-vi-zER
patrimoines,patRimwan,pa-tRi-mwan
renseigne,R@sEN,R@-sEN
frondé,fR§de,fR§-de
ineptement,inEpt2m@,i-nEp-t2-m@
cinématique,sinematik,si-ne-ma-tik
vahiné,vaine,va-i-ne
promis,pRomi,pRo-mi
alcyon,alsj§,al-sj§
mémorandums,memoR@dOm,me-mo-R@-dOm
inspiration,5spiRasj§,5s-pi-Ra-sj§
ensemencer,@s°m@se,@-s°-m@-se
charmeuse,SaRm2z,SaR-m2z
découpez,dekupe,de-ku-pe
exultent,Egzylt,Eg-zylt
flagellée,flaZEle,fla-ZE-le
errerai,ER°RE,E-R°-RE
verdis,vERdi,vER-di
rallongeait,Ral§ZE,Ra-l§-ZE
recouvrée,R°kuvRe,R°-ku-vRe
écluse,eklyz,e-klyz
anéantissait,ane@tisE,a-ne-@-ti-sE
hacherait,aS°RE,a-S°-RE
remettriez,R°mEtRije,R°-mE-tRi-je
égalais,egalE,e-ga-lE
anarcho-syndicaliste,anaRkos5dikalist,a-naR-ko-s5-di-ka-list
métastasé,metastaze,me-tas-ta-ze
succulente,sykyl@t,sy-ky-l@t
affamez,afame,a-fa-me
mènerait,mEn°RE,mE-n°-RE
préscolaire,pReskolER,pRes-ko-lER
bossoirs,boswaR,bo-swaR
démerdard,demERdaR,de-mER-daR
douées,dwe,dwe
gueuloir,g9lwaR,g9-lwaR
élaboriez,elaboRje,e-la-bo-Rje
maltraité,maltRete,mal-tRe-te
dépouillons,depuj§,de-pu-j§
arrondi,aR§di,a-R§-di
dissipés,disipe,di-si-pe
condamna,k§dana,k§-da-na
changeai,S@ZE,S@-ZE
créions,kRej§,kRe-j§
bobine,bobin,bo-bin
grippant,gRip@,gRi-p@
somnambulique,sOmn@bylik,sOm-n@-by-lik
ovale,oval,o-val
révoquées,Revoke,Re-vo-ke
freinerez,fREn°Re,fRE-n°-Re
flagellaient,flaZElE,fla-ZE-lE
cérébral,seRebRal,se-Re-bRal
dissolve,disOlv,di-sOlv
détournât,detuRna,de-tuR-na
archipels,aRSipEl,aR-Si-pEl
boula,bula,bu-la
rament,Ram,Ram
mûrisse,myRis,my-Ris
encaissés,@kese,@-ke-se
soupirs,supiR,su-piR
trépignerai,tRepiN°RE,tRe-pi-N°-RE
voracement,voRas°m@,vo-Ra-s°-m@
honorez,onoRe,o-no-Re
mornement,mORn2m@,mOR-n2-m@
studette,stydEt,sty-dEt
rêvé,Reve,Re-ve
environnant,@viRon@,@-vi-Ro-n@
génique,Zenik,Ze-nik
avachissait,avaSisE,a-va-Si-sE
médisant,mediz@,me-di-z@
appesantissais,ap°z@tisE,a-p°-z@-ti-sE
exploitait,EksplwatE,Ek-splwa-tE
circulèrent,siRkylER,siR-ky-lER
voyageais,vwajaZE,vwa-ja-ZE
offusquée,ofyske,o-fys-ke
allongerai,al§Z°RE,a-l§-Z°-RE
enrobèrent,@RobER,@-Ro-bER
bâchées,baSe,ba-Se
schnaps,Snaps,Snaps
réorganisé,ReORganize,Re-OR-ga-ni-ze
promotionnel,pRomosjonEl,pRo-mo-sjo-nEl
dénudé,denyde,de-ny-de
barbarie,baRbaRi,baR-ba-Ri
frisottées,fRizote,fRi-zo-te
erreurs,ER9R,E-R9R
dorure,dORyR,dO-RyR
vénères,venER,ve-nER
survivantes,syRviv@t,syR-vi-v@t
avant-scène,av@sEn,a-v@-sEn
castrons,kastR§,kas-tR§
immenses,im@s,i-m@s
entonnèrent,@tonER,@-to-nER
esseulés,Es9le,E-s9-le
peausserie,pos°Ri,po-s°-Ri
hyperréalistes,ipERRealist,i-pER-Re-a-list
cabanettes,kabanEt,ka-ba-nEt
select,selEkt,se-lEkt
découpaient,dekupE,de-ku-pE
grange,gR@Z,gR@Z
traitassent,tREtas,tRE-tas
régénérait,ReZeneRE,Re-Ze-ne-RE
racinait,RasinE,Ra-si-nE
propagera,pRopaZ°Ra,pRo-pa-Z°-Ra
gardon,gaRd§,gaR-d§
ragougnasse,RaguNas,Ra-gu-Nas
palabrer,palabRe,pa-la-bRe
pinéal,pineal,pi-ne-al
limericks,lim°Rik,li-m°-Rik
sous-produit,supRod8i,su-pRo-d8i
montres,m§tR,m§tR
cholédoque,koledOk,ko-le-dOk
hydrolyse,idRoliz,i-dRo-liz
meeting,mitiG,mi-tiG
incriminées,5kRimine,5-kRi-mi-ne
confesserait,k§fEs°RE,k§-fE-s°-RE
axé,akse,ak-se
dénégations,denegasj§,de-ne-ga-sj§
annonçant,an§s@,a-n§-s@
vicelard,vis°laR,vi-s°-laR
usurpés,yzyRpe,y-zyR-pe
assemblées,as@ble,a-s@-ble
manipules,manipyl,ma-ni-pyl
litrons,litR§,li-tR§
vicinal,visinal,vi-si-nal
coran,koR@,ko-R@
vantaient,v@tE,v@-tE
repoudrer,R°pudRe,R°-pu-dRe
enfuit,@f8i,@-f8i
étranglerai,etR@gl°RE,e-tR@-gl°-RE
refluait,R°flyE,R°-fly-E
inexplorée,inEksploRe,i-nEk-splo-Re
éventrée,ev@tRe,e-v@-tRe
lugubrement,lygybR°m@,ly-gy-bR°-m@
chippendales,Sip9ndEjlz,Si-p9n-dEjlz
conviviale,k§vivjal,k§-vi-vjal
laconique,lakonik,la-ko-nik
fléchissent,fleSis,fle-Sis
gymnasium,ZimnazjOm,Zim-na-zjOm
tromperont,tR§p°R§,tR§-p°-R§
piétement,pjEt°m@,pjE-t°-m@
flottées,flote,flo-te
adjacent,adZas@,ad-Za-s@
retroussent,R°tRus,R°-tRus
cintra,s5tRa,s5-tRa
videront,vid°R§,vi-d°-R§
reculait,R°kylE,R°-ky-lE
brigué,bRige,bRi-ge
chiader,Sjade,Sja-de
accommodements,akomOd°m@,a-ko-mO-d°-m@
simiens,simj5,si-mj5
psychotique,psikotik,psi-ko-tik
oiseuses,waz2z,wa-z2z
anti-fantômes,@tif@tom,@-ti-f@-tom
fortifiées,fORtifje,fOR-ti-fje
amorcer,amORse,a-mOR-se
agissions,aZisj§,a-Zi-sj§
omnipotence,Omnipot@s,Om-ni-po-t@s
souperait,sup°RE,su-p°-RE
commué,kOm8e,kO-m8e
pieux,pj2,pj2
quinium,kinjOm,ki-njOm
synaptiques,sinaptik,si-nap-tik
sectionnée,seksjone,sek-sjo-ne
fourre-tout,fuRtu,fuR-tu
solarium,solaRjOm,so-la-RjOm
surnagé,syRnaZe,syR-na-Ze
titane,titan,ti-tan
fichus,fiSy,fi-Sy
motifs,motif,mo-tif
récalcitrants,RekalsitR@,Re-kal-si-tR@
délinquantes,del5k@t,de-l5-k@t
damnera,dan°Ra,da-n°-Ra
logis,loZi,lo-Zi
bombardé,b§baRde,b§-baR-de
licenciées,lis@sje,li-s@-sje
tournois,tuRnwa,tuR-nwa
déchéances,deSe@s,de-Se-@s
rattrapant,RatRap@,Ra-tRa-p@
michetonneuses,miS°ton2z,mi-S°-to-n2z
teutonnes,t2tOn,t2-tOn
mortalité,mORtalite,mOR-ta-li-te
attendrai,at@dRE,a-t@-dRE
imprime,5pRim,5-pRim
convalescence,k§vales@s,k§-va-le-s@s
suppresseur,sypREs9R,sy-pRE-s9R
habitations,abitasj§,a-bi-ta-sj§
barbare,baRbaR,baR-baR
contrôle,k§tRol,k§-tRol
panification,panifikasj§,pa-ni-fi-ka-sj§
vikings,vikiG,vi-kiG
bistrots,bistRo,bis-tRo
cargua,kaRga,kaR-ga
ricaneurs,Rikan9R,Ri-ka-n9R
attachaient,ataSE,a-ta-SE
septembriseur,sEpt@bRiz9R,sEp-t@-bRi-z9R
franchouillarde,fR@SujaRd,fR@-Su-jaRd
retraire,R°tRER,R°-tRER
sodomiser,sodomize,so-do-mi-ze
dynamos,dinamo,di-na-mo
faible,fEbl,fEbl
chloral,kloRal,klo-Ral
banco,b@ko,b@-ko
soigneurs,swaN9R,swa-N9R
patagonien,patagonj5,pa-ta-go-nj5
séguedille,seg°dij,se-g°-dij
nantie,n@ti,n@-ti
craignaient,kRENE,kRE-NE
incitée,5site,5-si-te
blessées,blese,ble-se
sulky,sylki,syl-ki
démontra,dem§tRa,de-m§-tRa
lavabo,lavabo,la-va-bo
décompressé,dek§pRese,de-k§-pRe-se
contrastée,k§tRaste,k§-tRas-te
étalerai,etal°RE,e-ta-l°-RE
dégagement,degaZ°m@,de-ga-Z°-m@
cholestérol,kolEsteROl,ko-lEs-te-ROl
biodiversité,bjodivERsite,bjo-di-vER-si-te
volatilisées,volatilize,vo-la-ti-li-ze
mats,mat,mat
enragé,@RaZe,@-Ra-Ze
andorranes,@doRan,@-do-Ran
méfions,mefj§,me-fj§
élongation,el§gasj§,e-l§-ga-sj§
écraseront,ekRaz°R§,e-kRa-z°-R§
offenseurs,of@s9R,o-f@-s9R
assassines,asasin,a-sa-sin
interrègne,5tERREN,5-tER-REN
baffles,bafl,bafl
existait,EgzistE,Eg-zis-tE
auréolés,oReole,o-Re-o-le
olivettes,olivEt,o-li-vEt
appariée,apaRje,a-pa-Rje
berger,bERZe,bER-Ze
égouttement,egut°m@,e-gu-t°-m@
saisonniers,sEzonje,sE-zo-nje
maître queux,mEtR°k2,mE-tR°-k2
transversal,tR@svERsal,tR@s-vER-sal
essayera,esej°Ra,e-se-j°-Ra
putréfiées,pytRefje,py-tRe-fje
discontinuer,disk§tin8e,dis-k§-ti-n8e
câlinait,kalinE,ka-li-nE
confiserie,k§fiz°Ri,k§-fi-z°-Ri
néfastes,nefast,ne-fast
survivance,syRviv@s,syR-vi-v@s
raccompagneras,Rak§paN°Ra,Ra-k§-pa-N°-Ra
répertoriant,RepERtoRj@,Re-pER-to-Rj@
affaiblissais,afEblisE,a-fE-bli-sE
costaud,kOsto,kOs-to
redevenus,R°d°v°ny,R°-d°-v°-ny
relayer,R°leje,R°-le-je
graciés,gRasje,gRa-sje
tonneau,tono,to-no
doyen,dwaj5,dwa-j5
méconnue,mekony,me-ko-ny
goumiers,gumje,gu-mje
revivras,R°vivRa,R°-vi-vRa
à l'envi,al@vi,a-l@-vi
gaine-culotte,gEnkylOt,gEn-ky-lOt
miraculantes,miRakyl@t,mi-Ra-ky-l@t
silhouetter,silwete,si-lwe-te
croyant,kRwaj@,kRwa-j@
opposant,opoz@,o-po-z@
confidentialité,k§fid@sjalite,k§-fi-d@-sja-li-te
bengalais,b5galE,b5-ga-lE
disjonctes,diZ§kt,di-Z§kt
santon,s@t§,s@-t§
électrocutez,elEktRokyte,e-lEk-tRo-ky-te
profession,pRofEsj§,pRo-fE-sj§
déblatérant,deblateR@,de-bla-te-R@
aimeriez,Em°Rje,E-m°-Rje
ennuyaient,@n8ijE,@-n8i-jE
infatué,5fat8e,5-fa-t8e
ulna,ylna,yl-na
fichée,fiSe,fi-Se
moches,mOS,mOS
flache,flaS,flaS
adressés,adRese,a-dRe-se
reniflait,R°niflE,R°-ni-flE
illustré,ilystRe,i-lys-tRe
importuns,5pORt1,5-pOR-t1
mâchèrent,maSER,ma-SER
baillé,baje,ba-je
loyalistes,lwajalist,lwa-ja-list
frigorifié,fRigoRifje,fRi-go-Ri-fje
rectifiera,REktifiRa,REk-ti-fi-Ra
valaient,valE,va-lE
courageuse,kuRaZ2z,ku-Ra-Z2z
crions,kRij§,kRi-j§
évoquerait,evOk°RE,e-vO-k°-RE
idéologies,ideoloZi,i-de-o-lo-Zi
recevais,R°s°vE,R°-s°-vE
obtiendra,Optj5dRa,Op-tj5-dRa
aboyeur,abwaj9R,a-bwa-j9R
à notre encontre,anOtR@k§tR,a-nO-tR@-k§tR
surprise,syRpRiz,syR-pRiz
droicos,dRoiko,dRo-i-ko
attrayantes,atREj@t,a-tRE-j@t
échevelant,eS°v°l@,e-S°-v°-l@
porte-flingues,pORt°fl5g,pOR-t°-fl5g
synergies,sinERZi,si-nER-Zi
cyanure,sjanyR,sja-nyR
re-convaincra,R°k§v5kRa,R°-k§-v5-kRa
baisez,bEze,bE-ze
oedipien,2dipj5,2-di-pj5
gascon,gask§,gas-k§
patapouf,patapuf,pa-ta-puf
aliénée,aljene,a-lje-ne
pipelets,pip°lE,pi-p°-lE
fuiraient,f8iRE,f8i-RE
mondiaux,m§djo,m§-djo
chewing gum,SwiGgOm,SwiG-gOm
essayerez,esej°Re,e-se-j°-Re
oxydée,Okside,Ok-si-de
bilatéral,bilateRal,bi-la-te-Ral
détachement,detaS°m@,de-ta-S°-m@
scooter,skut9R,sku-t9R
rectifiés,REktifje,REk-ti-fje
demi-teintes,d°mit5t,d°-mi-t5t
blanchissants,bl@Sis@,bl@-Si-s@
rechutant,R°Syt@,R°-Sy-t@
diacétylmorphine,diasetilmORfin,di-a-se-til-mOR-fin
fortifs,fORtif,fOR-tif
aigrelet,EgR°lE,E-gR°-lE
recueilleront,R°k9j°R§,R°-k9-j°-R§
encordés,@kORde,@-kOR-de
occitans,Oksit@,Ok-si-t@
flagellés,flaZEle,fla-ZE-le
