ortho,phon,syll
abritèrent,abRitER,a-bRi-tER
abrité,abRite,a-bRi-te
abrité,abRite,a-bRi-te
abritée,abRite,a-bRi-te
abritée,abRite,a-bRi-te
abritées,abRite,a-bRi-te
abrités,abRite,a-bRi-te
abrités,abRite,a-bRi-te
abrogation,abRogasj§,a-bRo-ga-sj§
abrogent,abROZ,a-bROZ
abroger,abRoZe,a-bRo-Ze
abrogé,abRoZe,a-bRo-Ze
abrogé,abRoZe,a-bRo-Ze
abrogée,abRoZe,a-bRo-Ze
abrogées,abRoZe,a-bRo-Ze
abrogés,abRoZe,a-bRo-Ze
abrupt,abRypt,a-bRypt
abrupt,abRypt,a-bRypt
abrupte,abRypt,a-bRypt
abruptement,abRypt°m@,a-bRyp-t°-m@
abruptes,abRypt,a-bRypt
abrupts,abRypt,a-bRypt
abrupts,abRypt,a-bRypt
abruti,abRyti,a-bRy-ti
abruti,abRyti,a-bRy-ti
abruti,abRyti,a-bRy-ti
abrutie,abRyti,a-bRy-ti
abrutie,abRyti,a-bRy-ti
abrutie,abRyti,a-bRy-ti
abruties,abRyti,a-bRy-ti
abruties,abRyti,a-bRy-ti
abruties,abRyti,a-bRy-ti
abrutir,abRytiR,a-bRy-tiR
abrutira,abRytiRa,a-bRy-ti-Ra
abrutis,abRyti,a-bRy-ti
abrutis,abRyti,a-bRy-ti
abrutis,abRyti,a-bRy-ti
abrutissaient,abRytisE,a-bRy-ti-sE
abrutissais,abRytisE,a-bRy-ti-sE
abrutissait,abRytisE,a-bRy-ti-sE
abrutissant,abRytis@,a-bRy-ti-s@
abrutissant,abRytis@,a-bRy-ti-s@
abrutissante,abRytis@t,a-bRy-ti-s@t
abrutissantes,abRytis@t,a-bRy-ti-s@t
abrutissants,abRytis@,a-bRy-ti-s@
abrutissement,abRytis°m@,a-bRy-ti-s°-m@
abrutissent,abRytis,a-bRy-tis
abrutisseur,abRytis9R,a-bRy-ti-s9R
abrutissions,abRytisj§,a-bRy-ti-sj§
abrutit,abRyti,a-bRy-ti
abrège,abREZ,a-bREZ
abrègent,abREZ,a-bREZ
abrégea,abReZa,a-bRe-Za
abrégeai,abReZE,a-bRe-ZE
abrégeaient,abReZE,a-bRe-ZE
abrégeait,abReZE,a-bRe-ZE
abrégeant,abReZ@,a-bRe-Z@
abrégeons,abReZ§,a-bRe-Z§
abréger,abReZe,a-bRe-Ze
abrégera,abReZ°Ra,a-bRe-Z°-Ra
abrégerai,abReZ°RE,a-bRe-Z°-RE
abrégerait,abReZ°RE,a-bRe-Z°-RE
abrégez,abReZe,a-bRe-Ze
abrégeât,abReZa,a-bRe-Za
abrégé,abReZe,a-bRe-Ze
abrégé,abReZe,a-bRe-Ze
abrégé,abReZe,a-bRe-Ze
abrégée,abReZe,a-bRe-Ze
abrégée,abReZe,a-bRe-Ze
abrégés,abReZe,a-bRe-Ze
abrégés,abReZe,a-bRe-Ze
abréviatif,abRevjatif,a-bRe-vja-tif
abréviation,abRevjasj§,a-bRe-vja-sj§
abréviations,abRevjasj§,a-bRe-vja-sj§
abscisse,apsis,ap-sis
abscission,apsisj§,ap-si-sj§
abscons,apsk§,ap-sk§
absconse,apsk§s,ap-sk§s
absconses,apsk§s,ap-sk§s
absence,aps@s,ap-s@s
absences,aps@s,ap-s@s
absent,aps@,ap-s@
absent,aps@,ap-s@
absenta,aps@ta,ap-s@-ta
absentai,aps@tE,ap-s@-tE
absentaient,aps@tE,ap-s@-tE
absentais,aps@tE,ap-s@-tE
absentait,aps@tE,ap-s@-tE
absentant,aps@t@,ap-s@-t@
absente,aps@t,ap-s@t
absente,aps@t,ap-s@t
absente,aps@t,ap-s@t
absenter,aps@te,ap-s@-te
absentera,aps@t°Ra,ap-s@-t°-Ra
absenterai,aps@t°RE,ap-s@-t°-RE
absenterait,aps@t°RE,ap-s@-t°-RE
absentes,aps@t,ap-s@t
absentes,aps@t,ap-s@t
absentes,aps@t,ap-s@t
absents,aps@,ap-s@
absents,aps@,ap-s@
absentèrent,aps@tER,ap-s@-tER
absenté,aps@te,ap-s@-te
absentée,aps@te,ap-s@-te
absentéisme,aps@teizm,ap-s@-te-izm
absentéiste,aps@teist,ap-s@-te-ist
absentéiste,aps@teist,ap-s@-te-ist
absentés,aps@te,ap-s@-te
abside,apsid,ap-sid
absides,apsid,ap-sid
absidiales,apsidjal,ap-si-djal
absidiole,apsidjOl,ap-si-djOl
absinthant,aps5t@,ap-s5-t@
absinthe,aps5t,ap-s5t
absolu,apsoly,ap-so-ly
absolu,apsoly,ap-so-ly
absolue,apsoly,ap-so-ly
absolues,apsoly,ap-so-ly
absolument,apsolym@,ap-so-ly-m@
absolus,apsoly,ap-so-ly
absolus,apsoly,ap-so-ly
absolution,apsolysj§,ap-so-ly-sj§
absolutisme,apsolytizm,ap-so-ly-tizm
absolvaient,apsOlvE,ap-sOl-vE
absolvait,apsOlvE,ap-sOl-vE
absolvant,apsOlv@,ap-sOl-v@
absolve,apsOlv,ap-sOlv
absolvent,apsOlv,ap-sOlv
absolves,apsOlv,ap-sOlv
absorba,apsORba,ap-sOR-ba
absorbables,apsORbabl,ap-sOR-babl
absorbai,apsORbE,ap-sOR-bE
absorbaient,apsORbE,ap-sOR-bE
absorbais,apsORbE,ap-sOR-bE
absorbait,apsORbE,ap-sOR-bE
absorbant,apsORb@,ap-sOR-b@
absorbant,apsORb@,ap-sOR-b@
absorbant,apsORb@,ap-sOR-b@
absorbante,apsORb@t,ap-sOR-b@t
absorbantes,apsORb@t,ap-sOR-b@t
absorbants,apsORb@,ap-sOR-b@
absorbe,apsORb,ap-sORb
absorbent,apsORb,ap-sORb
absorber,apsORbe,ap-sOR-be
absorbera,apsORb°Ra,ap-sOR-b°-Ra
absorberai,apsORb°RE,ap-sOR-b°-RE
absorberaient,apsORb°RE,ap-sOR-b°-RE
absorberait,apsORb°RE,ap-sOR-b°-RE
absorbeur,apsORb9R,ap-sOR-b9R
absorbez,apsORbe,ap-sOR-be
absorbions,apsORbj§,ap-sOR-bj§
absorbons,apsORb§,ap-sOR-b§
absorbèrent,apsORbER,ap-sOR-bER
absorbé,apsORbe,ap-sOR-be
absorbé,apsORbe,ap-sOR-be
absorbée,apsORbe,ap-sOR-be
absorbée,apsORbe,ap-sOR-be
absorbées,apsORbe,ap-sOR-be
absorbées,apsORbe,ap-sOR-be
absorbés,apsORbe,ap-sOR-be
absorbés,apsORbe,ap-sOR-be
absorption,apsORpsj§,ap-sOR-psj§
absorptions,apsORpsj§,ap-sOR-psj§
absoudrai,apsudRE,ap-su-dRE
absoudrait,apsudRE,ap-su-dRE
absoudre,apsudR,ap-sudR
absoudriez,apsudRije,ap-su-dRi-je
absous,apsu,ap-su
absous,apsu,ap-su
absout,apsu,ap-su
absoute,apsut,ap-sut
absoute,apsut,ap-sut
absoute,apsut,ap-sut
absoutes,apsut,ap-sut
abstenaient,apst°nE,ap-st°-nE
abstenais,apst°nE,ap-st°-nE
abstenait,apst°nE,ap-st°-nE
abstenant,apst°n@,ap-st°-n@
abstenez,apst°ne,ap-st°-ne
absteniez,apst°nje,ap-st°-nje
abstenions,apst°nj§,ap-st°-nj§
abstenir,apst°niR,ap-st°-niR
abstenons,apst°n§,ap-st°-n§
abstention,apst@sj§,ap-st@-sj§
abstentionniste,apst@sjonist,ap-st@-sjo-nist
abstentionnistes,apst@sjonist,ap-st@-sjo-nist
abstenu,apst°ny,ap-st°-ny
abstenue,apst°ny,ap-st°-ny
abstenue,apst°ny,ap-st°-ny
abstenues,apst°ny,ap-st°-ny
abstenus,apst°ny,ap-st°-ny
abstiendrai,apstj5dRE,ap-stj5-dRE
abstiendraient,apstj5dRE,ap-stj5-dRE
abstiendrais,apstj5dRE,ap-stj5-dRE
abstiendrait,apstj5dRE,ap-stj5-dRE
abstiendras,apstj5dRa,ap-stj5-dRa
abstiendrions,apstj5dRj§,ap-stj5-dRj§
abstiendrons,apstj5dR§,ap-stj5-dR§
abstiendront,apstj5dR§,ap-stj5-dR§
abstienne,apstjEn,ap-stjEn
abstiennent,apstjEn,ap-stjEn
abstiennes,apstjEn,ap-stjEn
abstiens,apstj5,ap-stj5
abstient,apstj5,ap-stj5
abstinence,apstin@s,ap-sti-n@s
abstinences,apstin@s,ap-sti-n@s
abstinent,apstin@,ap-sti-n@
abstinente,apstin@t,ap-sti-n@t
abstinrent,apst5R,ap-st5R
abstins,apst5,ap-st5
abstint,apst5,ap-st5
abstraction,apstRaksj§,ap-stRak-sj§
abstractions,apstRaksj§,ap-stRak-sj§
abstraire,apstRER,ap-stRER
abstrais,apstRE,ap-stRE
abstrait,apstRE,ap-stRE
abstrait,apstRE,ap-stRE
abstrait,apstRE,ap-stRE
